Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Naturaleza jurídica;Periodo;Total
Nacional;;;Empresas: Otras;2013T2;53
Nacional;;;Empresas: Otras;2013T1;51
Nacional;;;Empresas: Otras;2012T4;51
Nacional;;;Empresas: Otras;2012T3;27
Nacional;;;Empresas: Otras;2012T2;40
Nacional;;;Empresas: Otras;2012T1;43
Nacional;;;Empresas: Otras;2011T4;30
Nacional;;;Empresas: Otras;2011T3;43
Nacional;;;Empresas: Otras;2011T2;28
Nacional;;;Empresas: Otras;2011T1;31
Nacional;;;Empresas: Otras;2010T4;25
Nacional;;;Empresas: Otras;2010T3;14
Nacional;;;Empresas: Otras;2010T2;25
Nacional;;;Empresas: Otras;2010T1;23
Nacional;;;Empresas: Otras;2009T4;23
Nacional;;;Empresas: Otras;2009T3;9
Nacional;;;Empresas: Otras;2009T2;13
Nacional;;;Empresas: Otras;2009T1;23
Nacional;;;Empresas: Otras;2008T4;12
Nacional;;;Empresas: Otras;2008T3;9
Nacional;;;Empresas: Otras;2008T2;6
Nacional;;;Empresas: Otras;2008T1;4
Nacional;;;Empresas: Otras;2007T4;5
Nacional;;;Empresas: Otras;2007T3;4
Nacional;;;Empresas: Otras;2007T2;13
Nacional;;;Empresas: Otras;2007T1;6
Nacional;;;Empresas: Otras;2006T4;7
Nacional;;;Empresas: Otras;2006T3;1
Nacional;;;Empresas: Otras;2006T2;4
Nacional;;;Empresas: Otras;2006T1;5
Nacional;;;Empresas: Otras;2005T4;4
Nacional;;;Empresas: Otras;2005T3;11
Nacional;;;Empresas: Otras;2005T2;3
Nacional;;;Empresas: Otras;2005T1;3
Nacional;01 Andalucía;;Total;2020T4;248
Nacional;01 Andalucía;;Total;2020T3;183
Nacional;01 Andalucía;;Total;2020T2;83
Nacional;01 Andalucía;;Total;2020T1;190
Nacional;01 Andalucía;;Total;2019T4;219
Nacional;01 Andalucía;;Total;2019T3;173
Nacional;01 Andalucía;;Total;2019T2;185
Nacional;01 Andalucía;;Total;2019T1;150
Nacional;01 Andalucía;;Total;2018T4;167
Nacional;01 Andalucía;;Total;2018T3;96
Nacional;01 Andalucía;;Total;2018T2;146
Nacional;01 Andalucía;;Total;2018T1;164
Nacional;01 Andalucía;;Total;2017T4;149
Nacional;01 Andalucía;;Total;2017T3;118
Nacional;01 Andalucía;;Total;2017T2;148
Nacional;01 Andalucía;;Total;2017T1;150
Nacional;01 Andalucía;;Total;2016T4;140
Nacional;01 Andalucía;;Total;2016T3;125
Nacional;01 Andalucía;;Total;2016T2;150
Nacional;01 Andalucía;;Total;2016T1;119
Nacional;01 Andalucía;;Total;2015T4;177
Nacional;01 Andalucía;;Total;2015T3;161
Nacional;01 Andalucía;;Total;2015T2;138
Nacional;01 Andalucía;;Total;2015T1;161
Nacional;01 Andalucía;;Total;2014T4;208
Nacional;01 Andalucía;;Total;2014T3;172
Nacional;01 Andalucía;;Total;2014T2;227
Nacional;01 Andalucía;;Total;2014T1;233
Nacional;01 Andalucía;;Total;2013T4;265
Nacional;01 Andalucía;;Total;2013T3;227
Nacional;01 Andalucía;;Total;2013T2;253
Nacional;01 Andalucía;;Total;2013T1;244
Nacional;01 Andalucía;;Total;2012T4;297
Nacional;01 Andalucía;;Total;2012T3;196
Nacional;01 Andalucía;;Total;2012T2;270
Nacional;01 Andalucía;;Total;2012T1;244
Nacional;01 Andalucía;;Total;2011T4;229
Nacional;01 Andalucía;;Total;2011T3;186
Nacional;01 Andalucía;;Total;2011T2;215
Nacional;01 Andalucía;;Total;2011T1;162
Nacional;01 Andalucía;;Total;2010T4;193
Nacional;01 Andalucía;;Total;2010T3;126
Nacional;01 Andalucía;;Total;2010T2;170
Nacional;01 Andalucía;;Total;2010T1;161
Nacional;01 Andalucía;;Total;2009T4;159
